"1"|"5"|
"2"|"7"|
"3"|"4"|
"4"|"12"|
"5"|"16"|
"6"|"2"|
"7"|"13"|
"8"|"25"|
"9"|"17"|
"10"|"1"|
"11"|"9"|
"12"|"29"|
"13"|"53"|
"14"|"27"|
"15"|"23"|
"16"|"30"|
"17"|"57"|
"18"|"14"|
"19"|"21"|
"20"|"18"|
"21"|"36"|
"22"|"15"|
"23"|"34"|
"24"|"37"|
"25"|"24"|
"26"|"26"|
"27"|"55"|
"28"|"39"|
"29"|"43"|
"30"|"33"|
"31"|"19"|
"32"|"22"|
"33"|"38"|
"34"|"8"|
"35"|"44"|
"36"|"20"|
"37"|"28"|
"38"|"48"|
"39"|"47"|
"40"|"3"|
"41"|"40"|
"42"|"65"|
"43"|"42"|
"44"|"41"|
"45"|"50"|
"46"|"64"|
"47"|"51"|
"48"|"45"|
"49"|"54"|
"50"|"56"|
"51"|"6"|
"52"|"52"|
"53"|"49"|
"54"|"66"|
"55"|"59"|
"56"|"60"|
"57"|"46"|
"58"|"58"|
"59"|"62"|
"60"|"10"|
"61"|"32"|
"62"|"61"|
"63"|"63"|
"64"|"11"|
"65"|"31"|
"66"|"35"|
